id,titulo,autores,anio_nacimiento_autor,anio_muerte_autor,materias,estanterias,idiomas,copyright,tipo_medio,descargas
34323,The Samurai Strategy,"Hoover, Thomas",1941.0,,Mystery fiction,"Category: Crime, Thrillers and Mystery; Category: Novels",en,True,Text,70662
17989,"Le comte de Monte-Cristo, Tome I","Dumas, Alexandre, Maquet, Auguste",1802.0,1870.0,"Adventure stories; Dantès, Edmond (Fictitious character) -- Fiction; France -- History -- 19th century -- Fiction; Historical fiction; Pirates -- Fiction; Prisoners -- Fiction; Revenge -- Fiction",Category: Adventure; Category: Classics of Literature; Category: French Literature; Category: Historical Novels; Category: Novels; FR Littérature,fr,False,Text,70570
30434,Occasion ... for Disaster,"Garrett, Randall, Janifer, Laurence M.",1927.0,1987.0,Psychic ability -- Fiction; Science fiction; Telepathy -- Fiction; United States. Federal Bureau of Investigation -- Fiction,"Category: Crime, Thrillers and Mystery; Category: Humour; Category: Science-Fiction & Fantasy; Science Fiction",en,False,Text,70528
26563,The Crack of Doom,"Cromie, Robert",1856.0,1907.0,Nuclear explosions -- Fiction; Paranormal fiction; Science fiction,Category: British Literature; Category: Novels; Category: Romance; Category: Science-Fiction & Fantasy,en,False,Text,70140
34318,Life Blood,"Hoover, Thomas",1941.0,,Adoption -- Corrupt practices -- Fiction; Central America -- Fiction; Horror tales; Human experimentation in medicine -- Fiction; Suspense fiction,"Category: Crime, Thrillers and Mystery; Category: Novels",en,True,Text,69915
22163,"The Rover Boys on the Farm; or, Last Days at Putnam Hall","Stratemeyer, Edward",1862.0,1930.0,Brothers -- Juvenile fiction; Military education -- Juvenile fiction; Schools -- Juvenile fiction,"Category: Adventure; Category: Children & Young Adult Reading; Category: Crime, Thrillers and Mystery; Children's Book Series; School Stories",en,False,Text,69906
42681,"The Hero of the People: A Historical Romance of Love, Liberty and Loyalty","Dumas, Alexandre",1802.0,1870.0,"France -- History -- Revolution, 1789-1799 -- Fiction; Historical fiction; Marie Antoinette, Queen, consort of Louis XVI, King of France, 1755-1793 -- Fiction",Category: French Literature; Category: Historical Novels; Category: Romance,en,False,Text,69871
28780,Peter the Brazen: A Mystery Story of Modern China,"Worts, George F. (George Frank)",1892.0,,China -- Fiction; Detective and mystery stories,"Category: Adventure; Category: Crime, Thrillers and Mystery; Category: Novels",en,False,Text,69663
393,The Blue Lagoon: A Romance,"Stacpoole, H. De Vere (Henry De Vere)",1863.0,1951.0,Adventure stories; Bildungsromans; Castaways -- Fiction; Cousins -- Fiction; Islands -- Fiction; Love stories; Shipwrecks -- Fiction,Category: Adventure; Category: British Literature; Category: Novels; Category: Romance,en,False,Text,68986
19771,Henrietta Temple: A Love Story,"Disraeli, Benjamin, Earl of Beaconsfield",1804.0,1881.0,Aristocracy (Social class) -- Fiction; Autobiographical fiction; Dandies -- Fiction; London (England) -- Fiction; Love stories; Upper class families -- Fiction,Category: British Literature; Category: Historical Novels; Category: Novels; Category: Romance,en,False,Text,68578
