key,titulo,autores,cantidad_ediciones,anio_primera_publicacion,materias,tiene_texto_completo,id_internet_archive,id_portada
/works/OL2775807W,Pollyanna,"Eleanor Hodgman Porter, Porter, Neil Reed, Lee Giles",552,1912,Aunts; Cheerfulness; Classic Literature; Conduct of life; Family; Fiction; History; Interpersonal relations; Juvenile Literature; Juvenile fiction,True,pollyanna00port_2,902113
/works/OL98130W,Also sprach Zarathustra,Friedrich Nietzsche,552,1883,Classic Literature; Fiction; Filosofie; Filosofía; German Philosophy; German language; Philosophy; Superhombre (Concepto filosófico); Superman; Superman (Philosophical concept),True,thusspakezara00nietiala,1017466
/works/OL151411W,Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,545,1889,"adventure and adventurers; adventure and adventurers, fiction; adventure stories; adventure travel; animals; anthropomorphism; artists' illustrated books; books and reading; british and irish fiction (fictional works by one author); child and youth fiction",True,bwb_KS-238-396,8595966
/works/OL262477W,The Return of Sherlock Holmes,Arthur Conan Doyle,545,1903,air guns; Americans; anise; anonymity; attempted murder; baritsu; blackmail; broughams; burglary; busts,True,returnsherlockho00doyl,9246467
/works/OL20935W,Adam Bede,"George Eliot, Robert Lewis Weed, Najam Saqib, Gordon Frederick Browne, David Case",543,1800,Fiction; England in fiction; Infanticide in fiction; Women clergy; Infanticide; Carpenters in fiction; Triangles (Interpersonal relations); Women clergy in fiction; Carpenters; Illegitimate children in fiction,True,bwb_KR-467-914,6379692
/works/OL8763776W,The Pickwick Papers,Charles Dickens,539,1800,Fiction; Men; Societies and clubs; Male friendship; Trials (Breach of promise); Social life and customs; Readers; Inglés; Travelers; Literatura inglesa,True,pickwickpapers04dick,13130696
/works/OL1095397W,Shirley,Charlotte Brontë,536,1800,"England, fiction; British and irish fiction (fictional works by one author); Fiction, historical, general; Napoleonic wars, 1800-1815, fiction; Fiction, historical; Textile industry; Fiction; Napoleonic Wars, 1800-1815; Women; Historical fiction",True,shirley0001bron,11024634
/works/OL19870W,The Jungle Book,Rudyard Kipling,536,1893,"Jungles; Fiction; Juvenile fiction; Animals; Romans, nouvelles, etc. pour la jeunesse; Novela juvenil; Selvas; Animales; Jungle animals; Mowgli (Fictitious character)",True,cu31924014517266,3344204
/works/OL1168083W,Nineteen Eighty-Four,George Orwell,536,1949,futurology; censorship; surveillance; rebels; sting operations; historical negationism; memory holes; thoughtcrime; Outer Party; resistance movements,True,19840000aowe,9267242
/works/OL262390W,The Road to Oz,L. Frank Baum,533,1909,"Fairy tales; Juvenile Fiction; Fiction; Oz (Imaginary place); Fantasy; Classic Literature; Children's fiction; Fantasy fiction; Oz (imaginary place), fiction; Fiction, fantasy, general",True,roadtoozillustra0000lfra,8243922
