id,titulo,subtitulo,autores,editorial,fecha_publicacion,paginas,categorias,idioma,rating_promedio,cantidad_ratings,consulta_origen
p4iTbQm8kR8C,Holt Anthology of Science Fiction,,Holt Rinehart & Winston,Holt McDougal,2000-05,324.0,Juvenile Fiction,en,,,subject:science fiction
alPyAAAAMAAJ,Bulletin of the Atomic Scientists,,,,1953,444.0,Nuclear energy,en,,,subject:science fiction
dlMAK3CTldsC,Public Understanding of Science,,,,2009,788.0,Electronic journals,en,,,subject:science fiction
7NkPAQAAIAAJ,"Meaning, Intentions, and Argumentation",,"Kepa Korta, Joana Garmendia",Center for the Study of Language and Information Publica Tion,2008,264.0,History,en,,,subject:science fiction
hKbMDwAAQBAJ,Ethical Futures and Global Science Fiction,,"Zachary Kendal, Aisling Smith, Giulia Champion, Andrew Milner",Springer Nature,2020-01-27,340.0,Literary Criticism,en,,,subject:science fiction
lZJFyrQ-oaIC,Nature,,Sir Norman Lockyer,,1898,652.0,Electronic journals,en,,,subject:science fiction
9JVscuBcAw8C,Notices of the Proceedings,,Royal Institution of Great Britain,,1887,634.0,Science,en,,,subject:science fiction
hy5bg9aY6UIC,Popular Science Monthly and World Advance,,,,1926,1860.0,Science,en,,,subject:science fiction
55pY4td5Cu8C,Hitotsubashi Journal of Arts & Sciences,,,,1995,84.0,Japan,en,,,subject:science fiction
S-m1DYffZcYC,A Comprehensive Bibliography of Elementary Books on Science and Mathematics,,"Carl J. Leibel, inc., La Puente, Calif",,1960,80.0,Children's literature,en,,,subject:science fiction
DRRlAAAAMAAJ,Brave New Words,The Oxford Dictionary of Science Fiction,Jeff Prucher,OUP USA,2007-03-21,392.0,Fiction,en,,,subject:science fiction
8BkQAQAAMAAJ,Reaching for the High Frontier,"The American Pro-Space Movement, 1972-84",Michael Michaud,Praeger,1986-12-03,470.0,Science,en,,,subject:science fiction
oEYUAQAAIAAJ,Science Digest,,,,1983,368.0,Science,en,,,subject:science fiction
mgUjAQAAIAAJ,"The Journal of Philosophy, Psychology and Scientific Methods",,,,1904,848.0,Electronic journals,en,4.0,1.0,subject:science fiction
DHlNQbSfahUC,Indiana University Studies,,,,1914,64.0,Science,en,,,subject:science fiction
hgUoAAAAYAAJ,The Princeton University Bulletin,,"Francis Landey Patton, Howard Crosby Butler, Varnum Lansing Collins",,1892,520.0,Science,en,,,subject:science fiction
OTP8dQHO57UC,Anticipations of the Reaction of Mechanical and Scientific Progress Upon Human Life and Thought,,Herbert George Wells,,1901,362.0,Science,en,,,subject:science fiction
GH4w92KDZDwC,Educational Tests for Use in Elementary Schools,Second Revision,"Charles Watters Odell, University of Illinois (Urbana-Champaign campus). Bureau of Educational Research, Walter Scott Monroe, Marion Eugene Herriott, Thomas Tristam Hamilton, Max Dissette Engelhart",,1929,708.0,Ability,en,,,subject:science fiction
n1URAQAAMAAJ,Proceedings of the Literary & Philosophical Society of Liverpool,,,,1914,158.0,Humanities,en,,,subject:science fiction
ONwEAAAAYAAJ,The Outline of Man's Knowledge,"The Story of History, Science, Literature, Art, Religion, Philosophy",Clement Wood,,1927,736.0,Art,en,,,subject:science fiction
e9oZAAAAMAAJ,Men of Science and Industry,"A Guide to the Biographies of Scientists, Engineers, Inventors and Physicians, in the Carnegie Library of Pittsburgh",Carnegie Library of Pittsburgh,,1915,214.0,Biography,en,,,subject:science fiction
3Ajyl_YRROQC,Report of the ... Meeting of the British Association for the Advancement of Science,,British Association for the Advancement of Science,,1884,956.0,Science,en,,,subject:science fiction
mhBLAAAAYAAJ,Report of the ... Meeting of the British Association for the Advancement of Science,,British Association for the Advancement of Science. Meeting,,1884,952.0,Science,en,,,subject:science fiction
rjBVAAAAMAAJ,Popular Science,,,,1983,1108.0,Electronic journals,en,,,subject:science fiction
hugPAQAAMAAJ,The Last Frontier,"Imagining Other Worlds, from the Copernican Revolution to Modern Science Fiction",Karl Siegfried Guthke,,1990,424.0,Literary Criticism,en,,,subject:science fiction
c68iAAAAMAAJ,Saul's Fall,A Critical Fiction,Herbert Lindenberger,,1979,296.0,Literary Criticism,en,,,subject:science fiction
hjsPAQAAIAAJ,Colorado College Publication,Studies series,,,1929,650.0,Language and languages,en,,,subject:science fiction
a-IWAQAAMAAJ,Fiction Stranger Than Truth,In the Metaphysical Labyrinth of Relativity,N. Rudakov,,1981,190.0,Science,en,,,subject:science fiction
Ws0-AQAAIAAJ,New Scientist,,,,2008,680.0,Science,en,,,subject:science fiction
RSXxAAAAMAAJ,New Scientist and Science Journal,,,,2008,448.0,Science,en,,,subject:science fiction
iGgcAQAAIAAJ,Practising Science Communication in the Information Age,Theorising Professional Practices,Richard Holliman,Oxford University Press (UK),2009,268.0,Language Arts & Disciplines,en,,,subject:science fiction
GzesAAAAIAAJ,Research Studies,A Quarterly Publication of Washington State University,Washington State University,,1977,296.0,Europe,en,,,subject:science fiction
5P0nAQAAIAAJ,Yearbook of Science and the Future,,,,1981,458.0,Science,en,,,subject:science fiction
PMVOAQAAMAAJ,Knowledge,,,,1911,524.0,Science,en,,,subject:science fiction
sE_nAAAAMAAJ,Knowledge & Illustrated Scientific News,,,,1911,528.0,Science,en,,,subject:science fiction
6mZDAQAAMAAJ,Transactions,,Leicester Literary & Philosophical Society,,1889,1242.0,Science,en,,,subject:science fiction
WE5DAQAAMAAJ,Lippincott's Magazine of Popular Literature and Science,,,,1874,778.0,Civilization,en,,,subject:science fiction
YH0YAQAAIAAJ,Concise Encyclopedia of Philosophy of Language,,"P. Lamarque, R. E. Asher",Pergamon,1997-12-17,632.0,Language Arts & Disciplines,en,,,subject:science fiction
OTAcAAAAMAAJ,Colorado College Publication,Studies series,Colorado College,,1929,580.0,Language and languages,en,,,subject:science fiction
XlfhAAAAMAAJ,"Walford's Guide to Reference Material: Generalia, language and literature, the arts",,Albert John Walford,Facet Publishing,1998,1212.0,Art,en,,,subject:science fiction
lrlVNVgpnukC,The Saturday Review,,,,1926,752.0,Art,en,,,subject:science fiction
y1sxAQAAMAAJ,"The Saturday Review of Politics, Literature, Science, Art, and Finance",,,,1887,952.0,Art,en,,,subject:science fiction
RwE8AAAAIAAJ,Teaching Children Science: an Inquiry Approach,,"Louis I. Kuslan, A. Harris Stone",,1968,488.0,Learning by discovery,en,,,subject:science fiction
8D9aAAAAMAAJ,Opus Three Hundred,,Isaac Asimov,,1984,404.0,Fiction,en,4.0,1.0,subject:science fiction
KzUkAQAAMAAJ,Brave New Universe,Testing the Values of Science in Society,Tom Henighan,,1980,212.0,Science,en,,,subject:science fiction
vgvna3Fi_0YC,The Secret Window,Ideal Worlds in Tanizaki's Fiction,Anthony Hood Chambers,Harvard Univ Asia Center,1994,196.0,Family & Relationships,en,,,subject:science fiction
pmioTTM-SDcC,Different Engines,How Science Drives Fiction and Fiction Drives Science,"Mark Brake, Neil Hook",Palgrave Macmillan,2007-12-10,388.0,Science,en,,,subject:science fiction
wLqQAAAAMAAJ,Déliberations Et Mémoires de la Société Royale Du Canada,,Royal Society of Canada,,1901,1018.0,Humanities,en,,,subject:science fiction
W-dEAQAAIAAJ,"Walford's Guide to Reference Material: Generalia, language & literature, the arts",,"Albert John Walford, Marilyn Mullay, Anthony Chalcraft",Library Association Publishing (UK),1993,1180.0,Reference,en,,,subject:science fiction
58oUAQAAIAAJ,American Novelists Since World War II.,Fifth series,"James Richard Giles, Wanda H. Giles",Dictionary of Literary Biograp,1996,416.0,Biography & Autobiography,en,,,subject:science fiction
RpY5mhHCkjUC,Journal and Proceedings of the Hamilton Association,,Hamilton Association,,1891,814.0,Science,en,,,subject:science fiction
0xDnAAAAMAAJ,Current,"Politics, Literature, Science and Art",,,1884,442.0,Art,en,,,subject:science fiction
hYpEAQAAMAAJ,Report on the Progress and Condition of the United States National Museum,,United States National Museum,,1905,812.0,Science,en,,,subject:science fiction
wxqQ0xH5cQkC,"The London, Edinburgh and Dublin Philosophical Magazine and Journal of Science",,,,1888,1128.0,Physics,en,,,subject:science fiction
xOU_AQAAMAAJ,"London, Edinburgh and Dublin Philosophical Magazine and Journal of Science",,,,1893,586.0,Physics,en,,,subject:science fiction
QYoYAAAAYAAJ,"The Canadian Journal of Science, Literature and History",,,,1873,734.0,Science,en,,,subject:science fiction
cbM7AQAAMAAJ,Report of the Assistant Director and of the Curators of the U.S. National Museum,,United States National Museum,,1905,796.0,Science,en,,,subject:science fiction
TL4-AQAAMAAJ,Circulars,,Johns Hopkins University,,1915,1232.0,Science,en,,,subject:science fiction
rnkKAAAAMAAJ,"High School Social Science, 1930",,Washington (State). Superintendent of Public Instruction,,1930,124.0,Education,en,,,subject:science fiction
rJo_AAAAYAAJ,The Romance of the Fungus World,"An Account of Fungus Life in Its Numerous Guises, Both Real and Legendary","Robert Thatcher Rolfe, F. W. Rolfe",,1925,376.0,Science,en,,,subject:science fiction
kAEUAAAAIAAJ,School Science and Mathematics,,,,1879,968.0,Education,en,,,subject:science fiction
CdXlAAAAMAAJ,State Course of Study High Schools of Virginia ...,,Virginia. State Board of Education,,1924,96.0,Business education,en,,,subject:science fiction
hBUxAQAAMAAJ,"Proceedings of the Second Pan American Scientific Congress: (section VI) International law, public law and jurisprudence. J. B. Scott, chairman",,,,1917,906.0,Anthropology,en,,,subject:science fiction
zWwcAAAAMAAJ,Abstracts of Dissertations for the Degrees of Doctor of Philosophy and Doctor of Education,"With the Titles of Theses Accepted for the Degrees of Engineer, Master of Arts, and Master of Science",Stanford University,,1927,906.0,"Dissertations, Academic",en,,,subject:science fiction
I5ZJAAAAYAAJ,Proceedings of the American Philosophical Society Held at Philadelphia for Promoting Useful Knowledge,,American Philosophical Society,,1917,784.0,Electronic journals,en,,,subject:science fiction
sJAFAAAAQAAJ,The New Englander,,,,1860,1172.0,Criticism,en,,,subject:science fiction
SP4_AAAAYAAJ,A Modern Wizard,,Rodrigues Ottolengui,Createspace Independent Publishing Platform,1894,454.0,Science,en,3.0,1.0,subject:science fiction
2FiuZqXrnOcC,The Making of America,,Robert Marion La Follette,,1906,540.0,Inventors,en,,,subject:science fiction
txYlAQAAIAAJ,Report of the National Museum,,United States National Museum,,1905,816.0,Science,en,,,subject:science fiction
LxIAAAAAYAAJ,Essays Upon Some Controverted Questions,,Thomas Henry Huxley,,1892,650.0,Agnosticism,en,,,subject:science fiction
KcHQCwAAQBAJ,Time in Fiction,,"Craig Bourne, Emily Caddick Bourne",Oxford University Press,2016-02-19,280.0,Literary Criticism,en,,,subject:science fiction
J6tHAQAAIAAJ,The China Journal,,,,1939-07,664.0,"Art, Chinese",en,,,subject:science fiction
mwUEAAAAIAAJ,Memoirs and Proceedings of the Manchester Literary & Philosophical Society,,Manchester Literary and Philosophical Society,,1967,626.0,Science,en,,,subject:science fiction
4Y_fAAAAMAAJ,War Stars,The Superweapon and the American Imagination,Howard Bruce Franklin,"Oxford University Press, USA",1988,296.0,Fiction,en,,,subject:science fiction
YbbaAAAAMAAJ,Is Anyone There?,,Isaac Asimov,Doubleday Books,1967,344.0,Science,en,,,subject:science fiction
qtUPAQAAMAAJ,Science and Social Evolution Implications for Public Policy,A Guide to Advanced Study ...,Lynton Keith Caldwell,,1976,332.0,Science,en,,,subject:science fiction
rgowAQAAIAAJ,Research Studies of the State College of Washington,,Washington State University,,1956,868.0,Science,en,,,subject:science fiction
CdoUQFkqXXMC,Elements of Literature,"Essay, Fiction, Poetry, Drama, Film",Carl H. Klaus,"Oxford University Press, USA",1986,1588.0,Language Arts & Disciplines,en,,,subject:science fiction
LbLuAAAAMAAJ,"Exploitation, Conservation, Preservation",A Geographic Perspective on Natural Resource Use,"Susan L. Cutter, Hilary Lambert Renwick, William H. Renwick",,1991-03-27,488.0,Business & Economics,en,,,subject:science fiction
6z5DAAAAIAAJ,"Fact, Fiction, and Forecast",,Nelson Goodman,,1965,152.0,Conditionals (Logic),en,,,subject:science fiction
lK47AQAAMAAJ,Journal and Proceedings of the Hamilton Association,,,,1891,986.0,Science,en,,,subject:science fiction
93MAAAAAYAAJ,Appletons' Journal,,,,1879,616.0,Art,en,,,subject:science fiction
1lw-AQAAIAAJ,Science & Public Policy,,,,2008,352.0,Science,en,,,subject:science fiction
d-IoAQAAIAAJ,STTH,Science/technology & the Humanities,,,1980,198.0,Humanities,en,,,subject:science fiction
67EPAQAAIAAJ,Tsunamis,The Great Wave,Horace M. Karling,Nova Science Publishers,2005,218.0,Nature,en,,,subject:science fiction
xmqgEAAAQBAJ,Animals in Detective Fiction,,"Ruth Hawthorn, John Miller",Springer Nature,2022-12-06,311.0,Literary Criticism,en,,,subject:science fiction
YelAAQAAMAAJ,"Saturday Review of Politics, Literature, Science and Art",,,,1900,906.0,Art,en,,,subject:science fiction
VgRXAAAAYAAJ,Science Scope,,,,2001,708.0,Science,en,,,subject:science fiction
PbLaAAAAMAAJ,Science & Culture,,,,1991,368.0,Electronic journals,en,,,subject:science fiction
M7FXAAAAYAAJ,Women and Gaming,The Sims and 21st Century Learning,"James Paul Gee, Elisabeth R. Hayes",Palgrave MacMillan,2010-04-15,224.0,Computers,en,,,subject:science fiction
3YnWAAAAMAAJ,The Cosmic Dancers,Exploring the Science of Science Fiction,"Amit Goswami, Maggie Goswami",McGraw-Hill Companies,1985,312.0,Literary Criticism,en,,,subject:science fiction
i9jYAAAAMAAJ,Gay and Gaia,"Ethics, Ecology, and the Erotic",Daniel Teberg Spencer,,1996,472.0,Philosophy,en,,,subject:science fiction
uk4qAQAAIAAJ,Red Cosmos,"K.E. Tsiolkovskii, Grandfather of Soviet Rocketry",James T. Andrews,Texas A&M University Press,2009,182.0,Biography & Autobiography,en,,,subject:science fiction
FZRJAAAAYAAJ,Appletons' Popular Science Monthly,,William Jay Youmans,,1898,898.0,Science,en,,,subject:science fiction
iRJLAQAAMAAJ,Eclectic Magazine,,,,1905,856.0,Arts,en,,,subject:science fiction
l7naAAAAMAAJ,"Logic, Methodology and Philosophy of Science","Proceedings of the ... International Congress of Logic, Methodology and Philosophy of Science",,,1979,882.0,"Logic, Symbolic and mathematical",en,,,subject:science fiction
gFkhAQAAIAAJ,"Possible Worlds in Humanities, Arts and Sciences",Proceedings of Nobel Symposium 65,Nobelstiftelsen,Research in Text Theory,1989,472.0,Education,en,,,subject:science fiction
44I_AQAAMAAJ,Potter's American Monthly,"An Illustrated Magazine of History, Literature, Science and Art",,,1879,980.0,American literature,en,,,subject:science fiction
XMoNAQAAIAAJ,"Notices of the Proceedings at the Meetings of the Members of the Royal Institution, with Abstracts of the Discourses",,Royal Institution of Great Britain,,1887,632.0,Science,en,,,subject:science fiction
xD8gAQAAIAAJ,Tyrannosaurus Prescription,,Isaac Asimov,Prometheus,1989-09,332.0,Literary Collections,en,,,subject:science fiction
e4eDDwAAQBAJ,Future Humans in Fiction and Film,,"Louisa MacKay Demerjian, Karen F. Stein",Cambridge Scholars Publishing,2019-01-10,202.0,Literary Criticism,en,,,subject:science fiction
e3g2yQWcs0YC,University of Colorado Studies,,University of Colorado,,1952,890.0,Science,en,,,subject:science fiction
NEooAQAAIAAJ,Rehovoth,,Mekhon Ṿaitsman le-madaʻ,,1976,270.0,Science,en,,,subject:science fiction
vC8NAAAAYAAJ,Improvement of the Understanding,Ethics and Correspondence of Benedict de Spinoza,Benedictus de Spinoza,,1901,480.0,Ethics,en,,,subject:science fiction
vp4eAQAAIAAJ,New Zealand Science Review,,,,1951,180.0,Science,en,,,subject:science fiction
zLtZAAAAMAAJ,Through the Custom-house,Nineteenth-century American Fiction and Modern Theory,John Carlos Rowe,Baltimore : Johns Hopkins University Press,1982,248.0,Literary Criticism,en,,,subject:science fiction
T-YfAQAAIAAJ,Trent's Last Case,,Edmund Clerihew Bentley,"Oxford University Press, USA",1995,220.0,Fiction,en,,,subject:science fiction
MssUAQAAIAAJ,"British Travel Writers, 1876-1909",,"Barbara Brothers, Julia Marie Gergits",Dictionary of Literary Biograp,1997,440.0,Biography & Autobiography,en,,,subject:science fiction
xi_eDaM3bbQC,Transactions of the American Philosophical Society,,,,1968,580.0,American periodicals,en,,,subject:science fiction
oDQKXE-x1IIC,"Pure and Applied Science Books, 1876-1982",,,,1982,1368.0,Science,en,,,subject:science fiction
toMPAAAAYAAJ,Practices of the Sentimental Imagination,"Melodrama, the Novel, and the Social Imaginary in Nineteenth-century Japan",Jonathan E. Zwicker,Harvard University Press,2006,296.0,Education,en,,,subject:science fiction
pao5AQAAMAAJ,Climate Change Communication,"Proceedings of an International Conference, June 22-24, 2000, Kitchener-Waterloo, Ontario, Canada","Daniel James Scott, Canada. Environment Canada, University of Waterloo",,2000,722.0,Nature,en,,,subject:science fiction
cLJlAAAAMAAJ,Dying Planet,Mars in Science and the Imagination,Robert Markley,Duke University Press Books,2005-09-08,464.0,Fiction,en,,,subject:science fiction
8fnuAAAAMAAJ,Ideas & Production,,,,1985,680.0,Intellectual life,en,,,subject:science fiction
WBRojgEACAAJ,A Voyage to Arcturus,,David Lindsay,,2015-10-07,270.0,,en,,,subject:science fiction
C3U-AQAAIAAJ,The Science Teacher,,,,2006,848.0,Science,en,,,subject:science fiction
ewZmAAAAMAAJ,Agnes Grey,,Anne Brontë,Oxford University Press,1988,262.0,Fiction,en,,,subject:science fiction
ZL_aAAAAMAAJ,Proceedings of the Indian Science Congress,,Indian Science Congress Association,,1995,1372.0,Indian Science Congress,en,,,subject:science fiction
GokmEAAAQBAJ,Surreal Entanglements,Essays on Jeff VanderMeer’s Fiction,"Louise Economides, Laura Shackelford",Routledge,2021-05-18,197.0,Literary Criticism,en,,,subject:science fiction
HuFDEAAAQBAJ,The Legacies of Ursula K. Le Guin,"Science, Fiction, Ethics","Christopher L. Robinson, Sarah Bouttier, Pierre-Louis Patoine",Springer Nature,2021-09-19,149.0,Fiction,en,,,subject:science fiction
dcr8dxPQ5U8C,The One True Platonic Heaven,A Scientific Fiction of the Limits of Knowledge,John Casti,Taylor & Francis US,2003-04-25,188.0,Philosophy,en,,,subject:science fiction
dzWA0QEACAAJ,Corpus Earthling,,LOUIS. CHARBONNEAU,,2025-07-29,0.0,Science,en,,,subject:science fiction
1n_wAAAAMAAJ,In Situ Hybridization,,Melody Clark,,1996,194.0,Science,en,,,subject:science fiction
ryApAAAAYAAJ,Bits of Life,"Feminism at the Intersections of Media, Bioscience, and Technology","Anneke Smelik, Nina Lykke",,2008-07,244.0,Computers,en,,,subject:science fiction
Frb2R6vZco0C,What the Crow Said,,Robert Kroetsch,University of Alberta,1998-11,232.0,Fiction,en,5.0,1.0,subject:science fiction
NYb8MAAACAAJ,The Master of the World,,Jules Verne,,2016-12-10,126.0,,en,,,subject:science fiction
JSRWPYp1nNUC,Comeuppance,"Costly Signaling, Altruistic Punishment, and Other Biological Components of Fiction",William Flesch,Harvard University Press,2007,272.0,Language Arts & Disciplines,en,,,subject:science fiction
Mvr2jwEACAAJ,The New Woman in Fiction and Fact,Fin-de-Siècle Feminisms,NA NA,Palgrave Macmillan,2014-01-14,258.0,Science,en,,,subject:science fiction
cDJw3dWjw_UC,The Early Universe,Facts and Fiction,Gerhard Börner,Springer Science & Business Media,2004-06-11,622.0,Science,en,3.5,2.0,subject:science fiction
z08dAQAAMAAJ,"A Syllabus for the Study of Science, Technology and Public Policy: Science and society",,"Lynton Keith Caldwell, William B. DeVille",,1968,318.0,Science,en,,,subject:science fiction
RL_aAAAAMAAJ,Science Wars,Debating Scientific Knowledge and Technology,Keith Parsons,Prometheus,2003-02,336.0,Political Science,en,,,subject:science fiction
yqNFAAAAYAAJ,Discover,,,,2008,528.0,Science,en,,,subject:science fiction
TlqGAAAAIAAJ,Through the Lumen,Frankenstein and the Optics of Re-origination,Zoe Sofoulis,,1988,442.0,Feminism,en,,,subject:science fiction
_84gAQAAIAAJ,Peter Carey,,Graham Huggan,"Oxford University Press, USA",1996,116.0,History,en,,,subject:science fiction
m0YmAQAAIAAJ,Next sex,sex in the age of its procreative superfluousness,"Gerfried Stocker, Christine Schöpf",,2000,428.0,Art,en,,,subject:science fiction
odxBEAAAQBAJ,Biopolitical Futures in Twenty-First-Century Speculative Fiction,,Sherryl Vint,Cambridge University Press,2021-10-07,283.0,History,en,,,subject:science fiction
fUfPswEACAAJ,Trope-ing the Light Fantastic,The Science Behind the Fiction,Edward M. Lerner,,2018,366.0,Fiction,en,,,subject:science fiction
aPaJtAEACAAJ,The War of the Worlds,,H. G. Wells,,2018-01-10,420.0,,en,,,subject:science fiction
WdnoAQAACAAJ,All Around the Moon,,Jules Verne,,2017-02-17,314.0,,en,,,subject:science fiction
c6B5swEACAAJ,Science Fiction and the Moral Imagination,"Visions, Minds, Ethics",Russell Blackford,Springer,2017-09-14,204.0,Philosophy,en,,,subject:science fiction
PXittAEACAAJ,The Sleeper Awakes,,H. G. Wells,Createspace Independent Publishing Platform,2018-02-28,254.0,,en,,,subject:science fiction
FgkOQ4xbx6sC,Index of Conference Proceedings Received,,British Library. Lending Division,,1983,844.0,Congresses and conventions,en,,,subject:science fiction
KdmxAAAAIAAJ,The Holodeck in the Garden,Science and Technology in Contemporary American Fiction,"Peter Freese, Charles B. Harris",,2004,418.0,History,en,,,subject:science fiction
5tYItAEACAAJ,The Octopus,"Or the ""Devil-Fish"" Of Fiction and of Fact (Classic Reprint)",Henry Lee,Forgotten Books,2018-02-03,148.0,Science,en,,,subject:science fiction
oCehAAAAMAAJ,Metropolitan Detroit Science Review,,,,1949,356.0,Science,en,,,subject:science fiction
AtEia3SMHVwC,Shikitei Sanba and the Comic Tradition in Edo Fiction,,Robert W. Leutner,Harvard Univ Asia Center,1985,260.0,Biography & Autobiography,en,,,subject:science fiction
Bw5LEQAAQBAJ,"The Call of the Eco-Weird in Fiction, Films, and Games",,"Brian Hisao Onishi, Nathan M. Bell",Springer Nature,2025-02-28,251.0,Science,en,,,subject:science fiction
tmRwA0OG8SsC,Electrical Experimenter,,,,1930,1498.0,Science,en,,,subject:science fiction
